Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1957/1/1,37,39,34,,,
1957/1/2,40,43,37,0.04,,
1957/1/3,31,39,,0,,
1957/1/4,24,28,,,,
1957/1/5,26,,21,,,
1957/1/6,27,34,,,,
1957/1/7,28,32,19,,,
1957/1/8,37,41,27,,,
1957/1/9,35,39,,0.08,,
1957/1/10,32,34,30,0.12,,
1957/1/11,25,32,,0,,
1957/1/12,18,21,16,,,
1957/1/13,22,27,18,,,
1957/1/14,23,27,,,,
1957/1/15,18,21,14,,,
1957/1/16,22,25,16,,,
1957/1/17,20,,16,,,
1957/1/18,17,27,,,,
1957/1/19,18,23,12,,,
1957/1/20,17,23,12,,,
1957/1/21,17,21,12,,,
1957/1/22,20,,14,,,
1957/1/23,27,,12,,,
1957/1/24,33,37,27,,,
1957/1/25,36,39,32,,,
1957/1/26,26,36,,,,
1957/1/27,33,37,23,,,
1957/1/28,33,37,,0.46,,
1957/1/29,28,,,,,
1957/1/30,21,27,,,,
1957/1/31,25,,16,,,
1957/2/1,29,,21,,,
1957/2/2,28,32,,0.04,,
1957/2/3,29,,25,0.39,,
1957/2/4,27,30,,0,,
1957/2/5,26,28,23,,,
1957/2/6,26,28,23,,,
1957/2/7,29,32,27,0.1,,
1957/2/8,18,27,,,,
1957/2/9,17,,10,,,
1957/2/10,16,18,12,,,
1957/2/11,16,21,9,,,
1957/2/12,22,25,,,,
1957/2/13,30,,,,,
1957/2/14,28,34,,,,
1957/2/15,22,27,19,,,
1957/2/16,27,32,18,,,
1957/2/17,31,37,,,,
1957/2/18,20,27,18,,,
1957/2/19,27,34,18,,,
1957/2/20,30,37,,,,
1957/2/21,29,36,21,,,
1957/2/22,30,37,,,,
1957/2/23,30,34,25,,,
1957/2/24,34,37,28,,,
1957/2/25,32,34,30,,,
1957/2/26,30,37,,,,
1957/2/27,34,,23,,,
1957/2/28,36,39,34,,,
1957/3/1,38,43,36,,,
1957/3/2,39,41,34,0.04,,
1957/3/3,37,43,,0,,
1957/3/4,31,37,,,,
1957/3/5,32,39,25,,,
1957/3/6,32,34,28,,,
1957/3/7,35,37,32,,,
1957/3/8,37,41,32,,,
1957/3/9,32,,,,,
1957/3/10,26,32,,,,
1957/3/11,23,30,,,,
1957/3/12,25,,19,,,
1957/3/13,28,34,19,,,
1957/3/14,31,39,,,,
1957/3/15,35,39,32,,,
1957/3/16,36,41,,,,
1957/3/17,38,43,36,,,
1957/3/18,41,46,36,,,
1957/3/19,43,52,37,,,
1957/3/20,46,59,39,,,
1957/3/21,37,,,,,
1957/3/22,36,,32,,,
1957/3/23,35,43,,0.31,,
1957/3/24,38,46,,0.04,,
1957/3/25,38,45,30,0,,
1957/3/26,36,43,27,,,
1957/3/27,39,43,,,,
1957/3/28,46,55,37,,,
1957/3/29,45,50,,,,
1957/3/30,43,57,,,,
1957/3/31,40,50,,,,
1957/4/1,37,45,,,,
1957/4/2,44,50,34,,,
1957/4/3,46,54,39,,,
1957/4/4,46,50,41,,,
1957/4/5,50,57,45,,,
1957/4/6,43,,,,,
1957/4/7,43,52,36,,,
1957/4/8,48,52,37,,,
